path,emotion,actor
data/Actor_16/03-01-05-01-02-01-16.wav,angry,16
data/Actor_16/03-01-06-01-02-02-16.wav,fearful,16
data/Actor_16/03-01-06-02-01-02-16.wav,fearful,16
data/Actor_16/03-01-05-02-01-01-16.wav,angry,16
data/Actor_16/03-01-07-01-01-01-16.wav,disgust,16
data/Actor_16/03-01-04-01-01-02-16.wav,sad,16
data/Actor_16/03-01-04-02-02-02-16.wav,sad,16
data/Actor_16/03-01-07-02-02-01-16.wav,disgust,16
data/Actor_16/03-01-08-02-02-01-16.wav,surprised,16
data/Actor_16/03-01-08-01-01-01-16.wav,surprised,16
data/Actor_16/03-01-03-02-02-02-16.wav,happy,16
data/Actor_16/03-01-03-01-01-02-16.wav,happy,16
data/Actor_16/03-01-02-02-01-01-16.wav,calm,16
data/Actor_16/03-01-01-01-02-02-16.wav,neutral,16
data/Actor_16/03-01-02-01-02-01-16.wav,calm,16
data/Actor_16/03-01-03-02-01-01-16.wav,happy,16
data/Actor_16/03-01-03-01-02-01-16.wav,happy,16
data/Actor_16/03-01-02-02-02-02-16.wav,calm,16
data/Actor_16/03-01-02-01-01-02-16.wav,calm,16
data/Actor_16/03-01-01-01-01-01-16.wav,neutral,16
data/Actor_16/03-01-06-01-01-01-16.wav,fearful,16
data/Actor_16/03-01-05-01-01-02-16.wav,angry,16
data/Actor_16/03-01-05-02-02-02-16.wav,angry,16
data/Actor_16/03-01-06-02-02-01-16.wav,fearful,16
data/Actor_16/03-01-04-01-02-01-16.wav,sad,16
data/Actor_16/03-01-07-01-02-02-16.wav,disgust,16
data/Actor_16/03-01-07-02-01-02-16.wav,disgust,16
data/Actor_16/03-01-04-02-01-01-16.wav,sad,16
data/Actor_16/03-01-08-02-01-02-16.wav,surprised,16
data/Actor_16/03-01-08-01-02-02-16.wav,surprised,16
data/Actor_16/03-01-02-01-02-02-16.wav,calm,16
data/Actor_16/03-01-01-01-02-01-16.wav,neutral,16
data/Actor_16/03-01-02-02-01-02-16.wav,calm,16
data/Actor_16/03-01-03-01-01-01-16.wav,happy,16
data/Actor_16/03-01-03-02-02-01-16.wav,happy,16
data/Actor_16/03-01-07-02-02-02-16.wav,disgust,16
data/Actor_16/03-01-04-02-02-01-16.wav,sad,16
data/Actor_16/03-01-04-01-01-01-16.wav,sad,16
data/Actor_16/03-01-07-01-01-02-16.wav,disgust,16
data/Actor_16/03-01-05-02-01-02-16.wav,angry,16
data/Actor_16/03-01-06-02-01-01-16.wav,fearful,16
data/Actor_16/03-01-06-01-02-01-16.wav,fearful,16
data/Actor_16/03-01-05-01-02-02-16.wav,angry,16
data/Actor_16/03-01-08-01-01-02-16.wav,surprised,16
data/Actor_16/03-01-08-02-02-02-16.wav,surprised,16
data/Actor_16/03-01-04-02-01-02-16.wav,sad,16
data/Actor_16/03-01-07-02-01-01-16.wav,disgust,16
data/Actor_16/03-01-07-01-02-01-16.wav,disgust,16
data/Actor_16/03-01-04-01-02-02-16.wav,sad,16
data/Actor_16/03-01-06-02-02-02-16.wav,fearful,16
data/Actor_16/03-01-05-02-02-01-16.wav,angry,16
data/Actor_16/03-01-05-01-01-01-16.wav,angry,16
data/Actor_16/03-01-06-01-01-02-16.wav,fearful,16
data/Actor_16/03-01-08-01-02-01-16.wav,surprised,16
data/Actor_16/03-01-08-02-01-01-16.wav,surprised,16
data/Actor_16/03-01-01-01-01-02-16.wav,neutral,16
data/Actor_16/03-01-02-01-01-01-16.wav,calm,16
data/Actor_16/03-01-02-02-02-01-16.wav,calm,16
data/Actor_16/03-01-03-01-02-02-16.wav,happy,16
data/Actor_16/03-01-03-02-01-02-16.wav,happy,16
data/Actor_11/03-01-01-01-02-02-11.wav,neutral,11
data/Actor_11/03-01-02-01-02-01-11.wav,calm,11
data/Actor_11/03-01-02-02-01-01-11.wav,calm,11
data/Actor_11/03-01-03-01-01-02-11.wav,happy,11
data/Actor_11/03-01-03-02-02-02-11.wav,happy,11
data/Actor_11/03-01-04-02-02-02-11.wav,sad,11
data/Actor_11/03-01-07-02-02-01-11.wav,disgust,11
data/Actor_11/03-01-07-01-01-01-11.wav,disgust,11
data/Actor_11/03-01-04-01-01-02-11.wav,sad,11
data/Actor_11/03-01-06-02-01-02-11.wav,fearful,11
data/Actor_11/03-01-05-02-01-01-11.wav,angry,11
data/Actor_11/03-01-05-01-02-01-11.wav,angry,11
data/Actor_11/03-01-06-01-02-02-11.wav,fearful,11
data/Actor_11/03-01-08-01-01-01-11.wav,surprised,11
data/Actor_11/03-01-08-02-02-01-11.wav,surprised,11
data/Actor_11/03-01-07-02-01-02-11.wav,disgust,11
data/Actor_11/03-01-04-02-01-01-11.wav,sad,11
data/Actor_11/03-01-04-01-02-01-11.wav,sad,11
data/Actor_11/03-01-07-01-02-02-11.wav,disgust,11
data/Actor_11/03-01-05-02-02-02-11.wav,angry,11
data/Actor_11/03-01-06-02-02-01-11.wav,fearful,11
data/Actor_11/03-01-06-01-01-01-11.wav,fearful,11
data/Actor_11/03-01-05-01-01-02-11.wav,angry,11
data/Actor_11/03-01-08-01-02-02-11.wav,surprised,11
data/Actor_11/03-01-08-02-01-02-11.wav,surprised,11
data/Actor_11/03-01-02-01-01-02-11.wav,calm,11
data/Actor_11/03-01-01-01-01-01-11.wav,neutral,11
data/Actor_11/03-01-02-02-02-02-11.wav,calm,11
data/Actor_11/03-01-03-01-02-01-11.wav,happy,11
data/Actor_11/03-01-03-02-01-01-11.wav,happy,11
data/Actor_11/03-01-06-01-02-01-11.wav,fearful,11
data/Actor_11/03-01-05-01-02-02-11.wav,angry,11
data/Actor_11/03-01-05-02-01-02-11.wav,angry,11
data/Actor_11/03-01-06-02-01-01-11.wav,fearful,11
data/Actor_11/03-01-04-01-01-01-11.wav,sad,11
data/Actor_11/03-01-07-01-01-02-11.wav,disgust,11
data/Actor_11/03-01-07-02-02-02-11.wav,disgust,11
data/Actor_11/03-01-04-02-02-01-11.wav,sad,11
data/Actor_11/03-01-08-02-02-02-11.wav,surprised,11
data/Actor_11/03-01-08-01-01-02-11.wav,surprised,11
data/Actor_11/03-01-03-02-02-01-11.wav,happy,11
data/Actor_11/03-01-03-01-01-01-11.wav,happy,11
data/Actor_11/03-01-02-02-01-02-11.wav,calm,11
data/Actor_11/03-01-02-01-02-02-11.wav,calm,11
data/Actor_11/03-01-01-01-02-01-11.wav,neutral,11
data/Actor_11/03-01-03-02-01-02-11.wav,happy,11
data/Actor_11/03-01-03-01-02-02-11.wav,happy,11
data/Actor_11/03-01-02-02-02-01-11.wav,calm,11
data/Actor_11/03-01-01-01-01-02-11.wav,neutral,11
data/Actor_11/03-01-02-01-01-01-11.wav,calm,11
data/Actor_11/03-01-05-01-01-01-11.wav,angry,11
data/Actor_11/03-01-06-01-01-02-11.wav,fearful,11
data/Actor_11/03-01-06-02-02-02-11.wav,fearful,11
data/Actor_11/03-01-05-02-02-01-11.wav,angry,11
data/Actor_11/03-01-07-01-02-01-11.wav,disgust,11
data/Actor_11/03-01-04-01-02-02-11.wav,sad,11
data/Actor_11/03-01-04-02-01-02-11.wav,sad,11
data/Actor_11/03-01-07-02-01-01-11.wav,disgust,11
data/Actor_11/03-01-08-02-01-01-11.wav,surprised,11
data/Actor_11/03-01-08-01-02-01-11.wav,surprised,11
data/Actor_18/03-01-03-02-01-02-18.wav,happy,18
data/Actor_18/03-01-03-01-02-02-18.wav,happy,18
data/Actor_18/03-01-02-02-02-01-18.wav,calm,18
data/Actor_18/03-01-02-01-01-01-18.wav,calm,18
data/Actor_18/03-01-01-01-01-02-18.wav,neutral,18
data/Actor_18/03-01-06-01-01-02-18.wav,fearful,18
data/Actor_18/03-01-05-01-01-01-18.wav,angry,18
data/Actor_18/03-01-05-02-02-01-18.wav,angry,18
data/Actor_18/03-01-06-02-02-02-18.wav,fearful,18
data/Actor_18/03-01-04-01-02-02-18.wav,sad,18
data/Actor_18/03-01-07-01-02-01-18.wav,disgust,18
data/Actor_18/03-01-07-02-01-01-18.wav,disgust,18
data/Actor_18/03-01-04-02-01-02-18.wav,sad,18
data/Actor_18/03-01-08-02-01-01-18.wav,surprised,18
data/Actor_18/03-01-08-01-02-01-18.wav,surprised,18
data/Actor_18/03-01-05-01-02-02-18.wav,angry,18
data/Actor_18/03-01-06-01-02-01-18.wav,fearful,18
data/Actor_18/03-01-06-02-01-01-18.wav,fearful,18
data/Actor_18/03-01-05-02-01-02-18.wav,angry,18
data/Actor_18/03-01-07-01-01-02-18.wav,disgust,18
data/Actor_18/03-01-04-01-01-01-18.wav,sad,18
data/Actor_18/03-01-04-02-02-01-18.wav,sad,18
data/Actor_18/03-01-07-02-02-02-18.wav,disgust,18
data/Actor_18/03-01-08-02-02-02-18.wav,surprised,18
data/Actor_18/03-01-08-01-01-02-18.wav,surprised,18
data/Actor_18/03-01-03-02-02-01-18.wav,happy,18
data/Actor_18/03-01-03-01-01-01-18.wav,happy,18
data/Actor_18/03-01-02-02-01-02-18.wav,calm,18
data/Actor_18/03-01-01-01-02-01-18.wav,neutral,18
data/Actor_18/03-01-02-01-02-02-18.wav,calm,18
data/Actor_18/03-01-04-02-01-01-18.wav,sad,18
